STATISTIC,Statistic2,TLIST(M1),Month,C02438V02948,Consumer Item,UNIT,VALUE
CPM08,National Average Price,199701,1997M01,10010,Round steak per kg.,IEP,6.119
CPM08,National Average Price,199701,1997M01,10020,Sirloin steak per kg.,IEP,8.053
CPM08,National Average Price,199701,1997M01,10030,Rib steak per kg.,IEP,4.023
CPM08,National Average Price,199701,1997M01,10040,Leg beef (boneless) per kg.,IEP,4.269
CPM08,National Average Price,199701,1997M01,10050,Brisket pot roast per kg.,IEP,4.097
CPM08,National Average Price,199701,1997M01,10070,Lamb whole leg per kg.,IEP,5.724
CPM08,National Average Price,199701,1997M01,10080,Lamb loin chops per kg.,IEP,8.776
CPM08,National Average Price,199701,1997M01,10090,Lamb gigot chops per kg.,IEP,6.148
CPM08,National Average Price,199701,1997M01,10100,Lamb - neck per kg.,IEP,2.48
CPM08,National Average Price,199701,1997M01,10110,Lambs liver per kg.,IEP,3.339
CPM08,National Average Price,199701,1997M01,10120,Whole leg of pork per kg.,IEP,3.879
CPM08,National Average Price,199701,1997M01,10130,Pork loin chops per kg.,IEP,5.694
CPM08,National Average Price,199701,1997M01,10140,Shoulder roast of pork per kg.,IEP,3.192
CPM08,National Average Price,199701,1997M01,10150,Pork steak per kg.,IEP,8.476
CPM08,National Average Price,199701,1997M01,10160,Best back rashers per kg.,IEP,6.414
CPM08,National Average Price,199701,1997M01,10170,Streaky rashers per kg.,IEP,3.936
CPM08,National Average Price,199701,1997M01,10180,Ham fillet per kg.,IEP,5.731
CPM08,National Average Price,199701,1997M01,10240,Cooked ham per kg.,IEP,8.232
CPM08,National Average Price,199701,1997M01,10260,Pork sausages per kg.,IEP,2.922
CPM08,National Average Price,199701,1997M01,10270,Black pudding per kg.,IEP,2.847
CPM08,National Average Price,199701,1997M01,10280,Fillet of whiting per kg.,IEP,4.27
CPM08,National Average Price,199701,1997M01,10290,Cod cutlets per kg.,IEP,6.635
CPM08,National Average Price,199701,1997M01,10310,Fillet of plaice per kg.,IEP,8.012
CPM08,National Average Price,199701,1997M01,10340,Smoked kippers per kg.,IEP,3.415
CPM08,National Average Price,199701,1997M01,10460,Potatoes per 5lbs,IEP,0.935
CPM08,National Average Price,199701,1997M01,10470,Potatoes 10 kg.,IEP,2.559
CPM08,National Average Price,199701,1997M01,10480,Tomatoes per kg.,IEP,1.47
CPM08,National Average Price,199701,1997M01,10490,Onions per kg.,IEP,0.544
CPM08,National Average Price,199701,1997M01,10510,Broccoli per kg.,IEP,1.857
CPM08,National Average Price,199701,1997M01,10530,Carrots per kg.,IEP,0.547
CPM08,National Average Price,199701,1997M01,10540,Mushrooms per kg.,IEP,2.697
CPM08,National Average Price,199701,1997M01,10730,Fresh pasteurised milk per litre,IEP,0.63
CPM08,National Average Price,199701,1997M01,10800,Irish cheddar per kg.,IEP,5.758
CPM08,National Average Price,199701,1997M01,10820,Butter per lb.,IEP,1.6
CPM08,National Average Price,199701,1997M01,10880,Large (size 2) eggs per dozen,IEP,1.483
CPM08,National Average Price,199701,1997M01,10890,Medium (size 3) eggs per dozen,IEP,1.336
CPM08,National Average Price,199701,1997M01,10900,"Bread white sliced, large (800g)",IEP,0.732
CPM08,National Average Price,199701,1997M01,10910,"Bread brown sliced, large (800g)",IEP,0.816
CPM08,National Average Price,199701,1997M01,10920,"Bread white sliced, small (400g)",IEP,0.549
CPM08,National Average Price,199701,1997M01,11020,"White, plain flour per 2 kgs.",IEP,0.951
CPM08,National Average Price,199701,1997M01,11030,"White, self-raising flour per 2 kgs.",IEP,0.955
