STATISTIC,Statistic,TLIST(M1),Month,C02363V02844,Consumer Item,UNIT,VALUE
CPM04,National Average  Price,200112,2001M12,10010,Round steak per kg.,Euro,8.414
CPM04,National Average  Price,200112,2001M12,10020,Sirloin steak per kg.,Euro,12.095
CPM04,National Average  Price,200112,2001M12,10030,Striploin steak per kg.,Euro,16.448
CPM04,National Average  Price,200112,2001M12,10040,Roast beef topside/rib per kg.,Euro,8.726
CPM04,National Average  Price,200112,2001M12,10050,Sliced/diced beef pieces per kg.,Euro,7.041
CPM04,National Average  Price,200112,2001M12,10070,Lamb whole leg per kg.,Euro,10.268
CPM04,National Average  Price,200112,2001M12,10080,Lamb loin chops per kg.,Euro,17.227
CPM04,National Average  Price,200112,2001M12,10090,Lamb gigot chops per kg.,Euro,10.613
CPM04,National Average  Price,200112,2001M12,10100,Lamb pieces incl neck per kg.,Euro,5.066
CPM04,National Average  Price,200112,2001M12,10110,Lambs liver per kg.,Euro,5.135
CPM04,National Average  Price,200112,2001M12,10120,Roast loin of pork per kg.,Euro,9.211
CPM04,National Average  Price,200112,2001M12,10130,Pork loin chops per kg.,Euro,8.92
CPM04,National Average  Price,200112,2001M12,10140,Pork steak per kg.,Euro,11.27
CPM04,National Average  Price,200112,2001M12,10150,Best back rashers per kg.,Euro,9.916
CPM04,National Average  Price,200112,2001M12,10160,Ham fillet per kg.,Euro,8.769
CPM04,National Average  Price,200112,2001M12,10170,Collar bacon per kg.,Euro,6.043
CPM04,National Average  Price,200112,2001M12,10180,Uncooked chicken medium sized 1600g,Euro,
CPM04,National Average  Price,200112,2001M12,10230,Cooked ham per kg.,Euro,13.622
CPM04,National Average  Price,200112,2001M12,10250,Pork sausages per kg.,Euro,4.499
CPM04,National Average  Price,200112,2001M12,10270,Fillet of whiting per kg.,Euro,7.849
CPM04,National Average  Price,200112,2001M12,10280,Cod fillets per kg.,Euro,13.143
CPM04,National Average  Price,200112,2001M12,10290,Salmon steak per kg.,Euro,11.645
CPM04,National Average  Price,200112,2001M12,10300,Fillet of plaice per kg.,Euro,15.093
CPM04,National Average  Price,200112,2001M12,10330,Smoked salmon per kg.,Euro,18.535
CPM04,National Average  Price,200112,2001M12,10450,Tomatoes tinned per 400g,Euro,
CPM04,National Average  Price,200112,2001M12,10470,Potatoes 2.5 kg.,Euro,3.066
CPM04,National Average  Price,200112,2001M12,10480,Potatoes 10 kg.,Euro,5.421
CPM04,National Average  Price,200112,2001M12,10490,Tomatoes per kg.,Euro,2.482
CPM04,National Average  Price,200112,2001M12,10500,Onions per kg.,Euro,1.283
CPM04,National Average  Price,200112,2001M12,10520,Broccoli per kg.,Euro,2.949
CPM04,National Average  Price,200112,2001M12,10540,Carrots per kg.,Euro,1.264
CPM04,National Average  Price,200112,2001M12,10550,Mushrooms per kg.,Euro,3.782
CPM04,National Average  Price,200112,2001M12,10640,Grapes per kg.,Euro,5.278
CPM04,National Average  Price,200112,2001M12,10650,Bananas per kg.,Euro,1.685
CPM04,National Average  Price,200112,2001M12,10840,1 litre full fat milk per ltr.,Euro,0.841
CPM04,National Average  Price,200112,2001M12,10850,2 litre full fat milk per 2 ltr.,Euro,
CPM04,National Average  Price,200112,2001M12,10910,Irish cheddar per kg.,Euro,8.79
CPM04,National Average  Price,200112,2001M12,10940,Butter per lb.,Euro,1.977
CPM04,National Average  Price,200112,2001M12,11000,Large (size 2) eggs per half dozen,Euro,
CPM04,National Average  Price,200112,2001M12,11010,Medium (size 3) eggs per half dozen,Euro,
CPM04,National Average  Price,200112,2001M12,11020,"Bread white sliced, large (800g)",Euro,0.995
CPM04,National Average  Price,200112,2001M12,11030,"Bread brown sliced, large (800g)",Euro,1.092
CPM04,National Average  Price,200112,2001M12,11150,"White, self-raising flour per 2 kgs.",Euro,1.26
CPM04,National Average  Price,200112,2001M12,11160,"Brown, wholemeal flour per 2 kgs.",Euro,1.314
CPM04,National Average  Price,200112,2001M12,11190,White granulated sugar per kg.,Euro,1.125
CPM04,National Average  Price,200112,2001M12,11220,Tea bags per 80,Euro,2.458
CPM04,National Average  Price,200112,2001M12,11340,Spaghetti per 500g.,Euro,0.933
CPM04,National Average  Price,200112,2001M12,11470,Jam per lb.,Euro,1.518
CPM04,National Average  Price,200112,2001M12,11490,Marmalade per lb.,Euro,1.48
CPM04,National Average  Price,200112,2001M12,11720,Orange juice per ltr.,Euro,1.583
CPM04,National Average  Price,200112,2001M12,11810,Stout - take home (6 x 250ml),Euro,6.362
CPM04,National Average  Price,200112,2001M12,11820,Lager - take home (500ml can),Euro,1.921
CPM04,National Average  Price,200112,2001M12,11830,Lager - take home (tray 12 by 330ml),Euro,
CPM04,National Average  Price,200112,2001M12,11850,Cider - take home ( 500ml can),Euro,1.724
CPM04,National Average  Price,200112,2001M12,11860,Whiskey - take home (70cl bottle),Euro,18.285
CPM04,National Average  Price,200112,2001M12,11870,Brandy - take home (70cl bottle),Euro,24.35
CPM04,National Average  Price,200112,2001M12,11880,Vodka - take home (70cl bottle),Euro,16.216
CPM04,National Average  Price,200112,2001M12,11890,Flavoured alcoholic drinks - take home 275ml bottle,Euro,
CPM04,National Average  Price,200112,2001M12,11900,Cream liquer - take home (70cl bottle),Euro,15.718
