"CPI Average Price Data, U.S. city average (AP)",,,,,
Original Data Value,,,,,
,,,,,
Series Id:,APU0000703613,,,,
Series Title:,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,,,
Area:,U.S. city average,,,,
Item:,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",,,,
Years:,1989 to 2022,,,,
,,,,,
Series ID,Year,Period,Value,,
APU0000703613,1989,M01,3.854,,
APU0000703613,1989,M02,3.948,,
APU0000703613,1989,M03,3.934,,
APU0000703613,1989,M04,3.888,,
APU0000703613,1989,M05,4.015,,
APU0000703613,1989,M06,4.043,,
APU0000703613,1989,M07,4.146,,
APU0000703613,1989,M08,3.991,,
APU0000703613,1989,M09,3.950,,
APU0000703613,1989,M10,3.761,,
APU0000703613,1989,M11,3.806,,
APU0000703613,1989,M12,3.794,,
APU0000703613,1990,M01,3.818,,
APU0000703613,1990,M02,3.851,,
APU0000703613,1990,M03,3.926,,
APU0000703613,1990,M04,4.072,,
APU0000703613,1990,M05,4.193,,
APU0000703613,1990,M06,4.189,,
APU0000703613,1990,M07,4.226,,
APU0000703613,1990,M08,4.218,,
APU0000703613,1990,M09,4.300,,
APU0000703613,1990,M10,4.251,,
APU0000703613,1990,M11,4.242,,
APU0000703613,1990,M12,4.244,,
APU0000703613,1991,M01,4.293,,
APU0000703613,1991,M02,4.234,,
APU0000703613,1991,M03,4.342,,
APU0000703613,1991,M04,4.371,,
APU0000703613,1991,M05,4.452,,
APU0000703613,1991,M06,4.410,,
APU0000703613,1991,M07,4.407,,
APU0000703613,1991,M08,4.380,,
APU0000703613,1991,M09,4.229,,
APU0000703613,1991,M10,4.190,,
APU0000703613,1991,M11,4.152,,
APU0000703613,1991,M12,4.018,,
APU0000703613,1992,M01,4.030,,
APU0000703613,1992,M02,4.129,,
APU0000703613,1992,M03,4.189,,
APU0000703613,1992,M04,4.249,,
APU0000703613,1992,M05,4.173,,
APU0000703613,1992,M06,4.326,,
APU0000703613,1992,M07,4.312,,
APU0000703613,1992,M08,4.278,,
APU0000703613,1992,M09,4.349,,
APU0000703613,1992,M10,4.175,,
APU0000703613,1992,M11,4.247,,
APU0000703613,1992,M12,4.229,,
APU0000703613,1993,M01,4.171,,
APU0000703613,1993,M02,4.427,,
APU0000703613,1993,M03,4.424,,
APU0000703613,1993,M04,4.511,,
APU0000703613,1993,M05,4.602,,
APU0000703613,1993,M06,4.608,,
APU0000703613,1993,M07,4.510,,
APU0000703613,1993,M08,4.415,,
APU0000703613,1993,M09,4.389,,
APU0000703613,1993,M10,4.304,,
APU0000703613,1993,M11,4.263,,
APU0000703613,1993,M12,4.261,,
APU0000703613,1994,M01,4.238,,
APU0000703613,1994,M02,4.197,,
APU0000703613,1994,M03,4.163,,
APU0000703613,1994,M04,4.319,,
APU0000703613,1994,M05,4.400,,
APU0000703613,1994,M06,4.290,,
APU0000703613,1994,M07,4.307,,
APU0000703613,1994,M08,4.228,,
APU0000703613,1994,M09,4.265,,
APU0000703613,1994,M10,4.172,,
APU0000703613,1994,M11,4.265,,
APU0000703613,1994,M12,4.209,,
APU0000703613,1995,M01,4.190,,
APU0000703613,1995,M02,4.190,,
APU0000703613,1995,M03,4.250,,
APU0000703613,1995,M04,4.214,,
APU0000703613,1995,M05,4.306,,
APU0000703613,1995,M06,4.370,,
APU0000703613,1995,M07,4.401,,
APU0000703613,1995,M08,4.296,,
APU0000703613,1995,M09,4.158,,
APU0000703613,1995,M10,4.169,,
APU0000703613,1995,M11,4.155,,
APU0000703613,1995,M12,4.011,,
APU0000703613,1996,M01,4.179,,
APU0000703613,1996,M02,4.162,,
APU0000703613,1996,M03,4.235,,
APU0000703613,1996,M04,4.232,,
APU0000703613,1996,M05,4.193,,
APU0000703613,1996,M06,4.302,,
APU0000703613,1996,M07,4.201,,
APU0000703613,1996,M08,4.274,,
APU0000703613,1996,M09,4.200,,
