STATISTIC,Statistic,TLIST(M1),Month,C02196V02652,State,UNIT,VALUE
TSM04C1,Exports of Cattle,197001,1970M01,-,State,Thousand,37.58
TSM04C1,Exports of Cattle,197002,1970M02,-,State,Thousand,47.53
TSM04C1,Exports of Cattle,197003,1970M03,-,State,Thousand,70.09
TSM04C1,Exports of Cattle,197004,1970M04,-,State,Thousand,52.24
TSM04C1,Exports of Cattle,197005,1970M05,-,State,Thousand,52.39
TSM04C1,Exports of Cattle,197006,1970M06,-,State,Thousand,32.12
TSM04C1,Exports of Cattle,197007,1970M07,-,State,Thousand,44.65
TSM04C1,Exports of Cattle,197008,1970M08,-,State,Thousand,51.32
TSM04C1,Exports of Cattle,197009,1970M09,-,State,Thousand,42.3
TSM04C1,Exports of Cattle,197010,1970M10,-,State,Thousand,42.21
TSM04C1,Exports of Cattle,197011,1970M11,-,State,Thousand,33.92
TSM04C1,Exports of Cattle,197012,1970M12,-,State,Thousand,22.69
TSM04C1,Exports of Cattle,197101,1971M01,-,State,Thousand,43.87
TSM04C1,Exports of Cattle,197102,1971M02,-,State,Thousand,51.47
TSM04C1,Exports of Cattle,197103,1971M03,-,State,Thousand,79.27
TSM04C1,Exports of Cattle,197104,1971M04,-,State,Thousand,58.53
TSM04C1,Exports of Cattle,197105,1971M05,-,State,Thousand,46.82
TSM04C1,Exports of Cattle,197106,1971M06,-,State,Thousand,60.38
TSM04C1,Exports of Cattle,197107,1971M07,-,State,Thousand,49.24
TSM04C1,Exports of Cattle,197108,1971M08,-,State,Thousand,56.42
TSM04C1,Exports of Cattle,197109,1971M09,-,State,Thousand,47.5
TSM04C1,Exports of Cattle,197110,1971M10,-,State,Thousand,45.83
TSM04C1,Exports of Cattle,197111,1971M11,-,State,Thousand,49.69
TSM04C1,Exports of Cattle,197112,1971M12,-,State,Thousand,26.79
TSM04C1,Exports of Cattle,197201,1972M01,-,State,Thousand,48.44
TSM04C1,Exports of Cattle,197202,1972M02,-,State,Thousand,62.15
TSM04C1,Exports of Cattle,197203,1972M03,-,State,Thousand,68.47
TSM04C1,Exports of Cattle,197204,1972M04,-,State,Thousand,46.53
TSM04C1,Exports of Cattle,197205,1972M05,-,State,Thousand,38.82
TSM04C1,Exports of Cattle,197206,1972M06,-,State,Thousand,43.28
TSM04C1,Exports of Cattle,197207,1972M07,-,State,Thousand,47.36
TSM04C1,Exports of Cattle,197208,1972M08,-,State,Thousand,50.75
TSM04C1,Exports of Cattle,197209,1972M09,-,State,Thousand,45.69
TSM04C1,Exports of Cattle,197210,1972M10,-,State,Thousand,46.76
TSM04C1,Exports of Cattle,197211,1972M11,-,State,Thousand,57.77
TSM04C1,Exports of Cattle,197212,1972M12,-,State,Thousand,40.78
TSM04C1,Exports of Cattle,197301,1973M01,-,State,Thousand,35.58
TSM04C1,Exports of Cattle,197302,1973M02,-,State,Thousand,32.27
TSM04C1,Exports of Cattle,197303,1973M03,-,State,Thousand,47.51
TSM04C1,Exports of Cattle,197304,1973M04,-,State,Thousand,32.19
TSM04C1,Exports of Cattle,197305,1973M05,-,State,Thousand,34.76
TSM04C1,Exports of Cattle,197306,1973M06,-,State,Thousand,34.72
TSM04C1,Exports of Cattle,197307,1973M07,-,State,Thousand,34.25
TSM04C1,Exports of Cattle,197308,1973M08,-,State,Thousand,35.26
TSM04C1,Exports of Cattle,197309,1973M09,-,State,Thousand,30.5
TSM04C1,Exports of Cattle,197310,1973M10,-,State,Thousand,44.67
TSM04C1,Exports of Cattle,197311,1973M11,-,State,Thousand,65.33
TSM04C1,Exports of Cattle,197312,1973M12,-,State,Thousand,26.6
TSM04C1,Exports of Cattle,197401,1974M01,-,State,Thousand,23.21
TSM04C1,Exports of Cattle,197402,1974M02,-,State,Thousand,36.97
TSM04C1,Exports of Cattle,197403,1974M03,-,State,Thousand,51.03
TSM04C1,Exports of Cattle,197404,1974M04,-,State,Thousand,37.82
TSM04C1,Exports of Cattle,197405,1974M05,-,State,Thousand,26.22
TSM04C1,Exports of Cattle,197406,1974M06,-,State,Thousand,28.88
TSM04C1,Exports of Cattle,197407,1974M07,-,State,Thousand,36.91
TSM04C1,Exports of Cattle,197408,1974M08,-,State,Thousand,40.36
TSM04C1,Exports of Cattle,197409,1974M09,-,State,Thousand,41.17
TSM04C1,Exports of Cattle,197410,1974M10,-,State,Thousand,42.59
TSM04C1,Exports of Cattle,197411,1974M11,-,State,Thousand,41.79
TSM04C1,Exports of Cattle,197412,1974M12,-,State,Thousand,33.51
TSM04C1,Exports of Cattle,197501,1975M01,-,State,Thousand,53.52
TSM04C1,Exports of Cattle,197502,1975M02,-,State,Thousand,44.19
TSM04C1,Exports of Cattle,197503,1975M03,-,State,Thousand,51.06
TSM04C1,Exports of Cattle,197504,1975M04,-,State,Thousand,46.68
TSM04C1,Exports of Cattle,197505,1975M05,-,State,Thousand,51.68
TSM04C1,Exports of Cattle,197506,1975M06,-,State,Thousand,35.83
TSM04C1,Exports of Cattle,197507,1975M07,-,State,Thousand,75.44
TSM04C1,Exports of Cattle,197508,1975M08,-,State,Thousand,77.63
TSM04C1,Exports of Cattle,197509,1975M09,-,State,Thousand,72.3
TSM04C1,Exports of Cattle,197510,1975M10,-,State,Thousand,84.16
TSM04C1,Exports of Cattle,197511,1975M11,-,State,Thousand,71.52
TSM04C1,Exports of Cattle,197512,1975M12,-,State,Thousand,39.72
TSM04C1,Exports of Cattle,197601,1976M01,-,State,Thousand,28.4
TSM04C1,Exports of Cattle,197602,1976M02,-,State,Thousand,30.4
TSM04C1,Exports of Cattle,197603,1976M03,-,State,Thousand,37.08
TSM04C1,Exports of Cattle,197604,1976M04,-,State,Thousand,33.42
TSM04C1,Exports of Cattle,197605,1976M05,-,State,Thousand,34.23
TSM04C1,Exports of Cattle,197606,1976M06,-,State,Thousand,35.62
